time_s,on_cts_norm,off_cts_norm,cts_norm,off_lsr_pwr_V,on_lsr_pwr_V,off_ref_cts_norm,on_ref_cts_norm,task,cal_no_mfc,cell_flow,seed_laser_t
3784123519.642,140.00015075724522,15.505799168889164,11204.491642952045,0.151265,0.6276285714285715,28.34784908777397,404.89189621296345,0.0,0.972070336342,11.4974356079,24.4000549316
3784123519.742,135.95690857755338,19.943313062485,10441.223596356154,0.14784,0.6239142857142858,26.712263434765134,408.57360048476073,0.0,0.972070336342,11.5024401474,24.399597168
3784123519.842,135.31691520649017,9.94341560368535,11283.614964252432,0.14952,0.6251542857142857,22.74795268425842,411.238424682509,0.0,0.972070336342,11.5024401474,24.399597168
3784123519.942,142.76598197135954,3.260089978483406,12555.530279358853,0.14918,0.6243842857142857,13.22878362604957,414.41338078024194,0.0,0.972070336342,11.5057732773,24.399597168
3784123520.042,149.86868774387338,10.077247841905047,12581.22959117715,0.14936,0.6199185714285714,26.85039504394061,419.4790755731569,0.0,0.972070336342,11.5057732773,24.399597168
3784123520.142,159.9052871326352,6.283775292195551,13825.936065639571,0.15227000000000002,0.6165814285714285,23.180821122612446,419.77802859426646,0.0,1.02753913403,11.4974356079,24.4016418457
3784123520.242,172.48589215606947,20.076669883971363,13716.83000448883,0.14858,0.6207371428571429,36.758906638275384,414.8027642705892,0.0,1.02753913403,11.4974356079,24.4016418457
3784123520.342,153.15607787307013,16.91754109606619,12261.468309930353,0.14724500000000001,0.6142228571428572,30.099468377304635,422.61968223006136,0.0,1.02753913403,11.495769043,24.4016418457
3784123520.442,147.73339021482911,13.295220368277603,12099.435286189637,0.14667000000000002,0.6164828571428572,33.41295130759739,429.48048446091826,0.0,1.02753913403,11.495769043,24.4016418457
3784123520.542,156.8712741389114,6.599353263380189,13524.472878797807,0.151055,0.61723,29.738724600871702,404.551862466112,0.0,1.02753913403,11.4941000557,24.4016418457
3784123520.642,129.88919288318814,6.547874110369909,11100.718689553642,0.15331,0.62144,18.832131834096952,415.28509298345494,0.0,1.02753913403,11.4941000557,24.4016418457
3784123520.742,146.4257159183368,3.228931223764934,12887.710622511468,0.151605,0.6181985714285714,32.71306049140172,437.2714928989391,0.0,0.952929675579,11.5024401474,24.3989257813
3784123520.842,143.68150380044736,9.419152276295133,12083.611637173699,0.1508,0.6198028571428571,31.769926094779322,414.9175782167002,0.0,0.952929675579,11.5024401474,24.3989257813
3784123520.942,142.2013751756736,23.622567935967794,10672.092651573523,0.149585,0.6225042857142858,22.623257574362604,405.87549182529244,0.0,0.952929675579,11.5007711601,24.3989257813
3784123521.042,143.29796315489082,16.269686320447743,11432.544915099877,0.15000999999999998,0.6229642857142856,29.447732056416854,415.28571643908157,0.0,0.952929675579,11.5007711601,24.3989257813
3784123521.142,135.76142611185787,6.620120247387181,11622.717527802362,0.151835,0.6231471428571428,3.072763028515241,412.4566603556801,0.0,0.952929675579,11.4974356079,24.4010925293
